BIGRAPA	Depth	Temp	Salinity ox 	Volts	chl
541	545.7	7.161	34.534	26.8	0	0.071
542	546.7	7.161	34.534	26	0	0.0751
543	547.7	7.154	34.534	26	0	0.1192
544	548.7	7.144	34.533	26.6	0	0.0738
545	549.7	7.126	34.531	27.6	0	0.0722
546	550.7	7.103	34.53	28.6	0	0.0719
547	551.8	7.09	34.529	29.1	0	0.0695
548	552.8	7.086	34.529	28.7	0	0.0719
549	553.8	7.09	34.531	27.5	0	0.0701
550	554.8	7.085	34.53	26.9	0	0.0722
551	555.8	7.076	34.529	27.6	0	0.0733
552	556.8	7.055	34.527	29	0	0.0718
553	557.8	7.007	34.524	31	0	0.0711
554	558.8	6.995	34.523	32	0	0.0722
